ID,author_year,country,cohort_name,cohort_abbrev,study_design,estimateType,analysis_type,temporality,exposure_characteristic,exposure_dx_class,outcome_characteristic,outcome_dx_class,dx_pair,exposure_modified_label,outcome_modified_label,pair,mood_anx_unadj,mood_anx_adj,bi3_ago_unadj,bi3_ago_adj,bi3_ocd_unadj,bi3_ocd_adj,bi3_gad_unadj,bi3_gad_adj,bi3_pd_unadj,bi3_pd_adj,bi3_pts_unadj,bi3_pts_adj,bi3_so_unadj,bi3_so_adj,bi3_sp_unadj,bi3_sp_adj,bi3_anx_unadj,bi3_anx_adj,dep_ocd_unadj,dep_ocd_adj,dep_gad_unadj,dep_gad_adj,dep_pds_unadj,dep_pds_adj,dep_pts_unadj,dep_pts_adj,dep_so_unadj,dep_so_adj,dep_sp_unadj,dep_sp_adj,dep_anx_unadj,dep_anx_adj,dep_ago_unadj,dep_ago_adj,dys_ago_unadj,dys_ago_adj,dys_ocd_unadj,dys_ocd_adj,dys_gad_unadj,dys_gad_adj,dys_pds_unadj,dys_pds_adj,dys_pts_unadj,dys_pts_adj,dys_so_unadj,dys_so_adj,dys_sp_unadj,dys_sp_adj,dys_anx_unadj,dys_anx_adj,mood_gad_unadj,mood_gad_adj,mood_so_unadj,mood_so_adj,mood_sp_unadj,mood_sp_adj,type1,UnadjRate1,UnadjLowerCI1,UnadjUpperCI1,PValue_Unadjusted,type2,AdjRate1,AdjLowerCI1,AdjUpperCI1,PValue_Adjusted,type3,a,c,b,d
60,"Wittchen et al, 1992",Germany,The Munich Follow-up Study (MFS),MFS,prospective cohort,crude estimate,2 X 2 table,lifetime,lifetime,mood disorder,,anxiety disorder,mood disorder-anxiety disorder,mood disorder,anxiety disorder,mood disorder-anxiety disorder,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,26,34,34,389
61,"Stein & Heimberg, 2004",Canada,The Ontario Health Survey Mental Health Supplement (OHS-MHS),OHS-MHS,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,anxiety disorder,lifetime,mood disorder,GAD-MDD,GAD,depression,GAD-depression,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,10.19,6.06,17.11,,,,,,
61,"Stein & Heimberg, 2004",Canada,The Ontario Health Survey Mental Health Supplement (OHS-MHS),OHS-MHS,cross-sectional,odds ratios,logistic regression,period-prevalence,12-month,anxiety disorder,12-month,mood disorder,GAD-MDD,GAD,depression,GAD-depression,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,25.54,13.72,47.54,,,,,,
62,"Sicras-Mainar et al, 2008",Spain,,,retrospective cohort,odds ratios,logistic regression,period-prevalence,,anxiety disorder,,mood disorder,GAD-depression syndrome,GAD,depression,GAD-depression,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,1.2,1.1,1.3,,,,,,
63,"Lampe et al, 2003",Australia,The Australian National Survey of Mental Health and Well-Being (NSMHWB),NSMHWB,cross-sectional,odds ratios,logistic regression,period-prevalence,12-month,anxiety disorder,12-month,mood disorder,social phobia-major depression,social phobia,depression,social phobia-depression,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,2.4,1.3,4.5,,,,,,
63,"Lampe et al, 2003",Australia,The Australian National Survey of Mental Health and Well-Being (NSMHWB),NSMHWB,cross-sectional,odds ratios,logistic regression,period-prevalence,12-month,anxiety disorder,12-month,mood disorder,social phobia-dysthymia,social phobia,dysthymia,social phobia-dysthymia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,Overall,1.5,0.8,2.7,,,,,,
63,"Lampe et al, 2003",Australia,The Australian National Survey of Mental Health and Well-Being (NSMHWB),NSMHWB,cross-sectional,odds ratios,logistic regression,period-prevalence,12-month,anxiety disorder,12-month,mood disorder,social phobia-mood disorder,social phobia,mood disorder,social phobia-mood disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,Overall,2.9,1.7,5,,,,,,
64,"Lewinsohn et al, 1995",USA,The Oregon Adolescent Depression Project (OADP),OADP,prospective cohort,crude estimate,2 X 2 table,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,bipolar disorder-anxiety disorder,bipolar disorder,anxiety disorder,bipolar disorder-anxiety disorder,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,6,12,153,1538
64,"Lewinsohn et al, 1995",USA,The Oregon Adolescent Depression Project (OADP),OADP,prospective cohort,crude estimate,2 X 2 table,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,bipolar disorder-phobias,bipolar disorder,phobia disorder,bipolar disorder-phobia disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,2,16,64,1627
64,"Lewinsohn et al, 1995",USA,The Oregon Adolescent Depression Project (OADP),OADP,prospective cohort,crude estimate,2 X 2 table,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,bipolar disorder-separation anxiety,bipolar disorder,SAD,bipolar disorder-SAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,4,14,68,1623
64,"Lewinsohn et al, 1995",USA,The Oregon Adolescent Depression Project (OADP),OADP,prospective cohort,crude estimate,2 X 2 table,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,bipolar disorder-panic disorder,bipolar disorder,panic disorder,bipolar disorder-panic disorder,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,2,16,17,1674
65,"Sartorius et al, 1996",Multiple countries,The WHO Study of Psychological Problems in General Health Care (PPGHC),PPGHC,cross-sectional,odds ratios,logistic regression,period-prevalence,,mood disorder,,anxiety disorder,depression-anxiety disorder,depression,anxiety disorder,depression-anxiety disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,Overall,9.3,7.6,11.4,,,,,,,,,,,
66,"Sahoo & Khess, 2010",India,,,cross-sectional,crude estimate,2 X 2 table,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,major depression-anxiety disorder,depression,anxiety disorder,depression-anxiety disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,42,35,8,320
67,"Ruscio et al, 2010",USA,The National Comorbidity Survey Replication (NCS-R),NCS-R,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,anxiety disorder,lifetime,mood disorder,OCD-mood disorder,OCD,mood disorder,OCD-mood disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,6.9,3.5,13.7,,,,,,
67,"Ruscio et al, 2010",USA,The National Comorbidity Survey Replication (NCS-R),NCS-R,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,anxiety disorder,lifetime,mood disorder,OCD-MDD,OCD,depression,OCD-depression,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,3.5,2,6.2,,,,,,
67,"Ruscio et al, 2010",USA,The National Comorbidity Survey Replication (NCS-R),NCS-R,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,anxiety disorder,lifetime,mood disorder,OCD-dysthymia,OCD,dysthymia,OCD-dysthymia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,Overall,5.6,2.4,12.9,,,,,,
67,"Ruscio et al, 2010",USA,The National Comorbidity Survey Replication (NCS-R),NCS-R,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,anxiety disorder,lifetime,mood disorder,OCD-bipolar disorder,OCD,bipolar disorder,OCD-bipolar disorder,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,7.4,3.6,15.4,,,,,,
69,"McEvoy et al, 2011",Australia,The Australian National Survey of Mental Health and Well-Being (NSMHWB),NSMHWB,cross-sectional,odds ratios,logistic regression,period-prevalence,12-month,anxiety disorder,12-month,mood disorder,anxiety disorder-MDD,anxiety disorder,depression,anxiety disorder-depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,Overall,9,6.2,13,,,,,,,,,,,
69,"McEvoy et al, 2011",Australia,The Australian National Survey of Mental Health and Well-Being (NSMHWB),NSMHWB,cross-sectional,odds ratios,logistic regression,period-prevalence,12-month,anxiety disorder,12-month,mood disorder,anxiety disorder-dysthymia,anxiety disorder,dysthymia,anxiety disorder-dysthymia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,Overall,2.5,1.1,5.9,,,,,,,,,,,
69,"McEvoy et al, 2011",Australia,The Australian National Survey of Mental Health and Well-Being (NSMHWB),NSMHWB,cross-sectional,odds ratios,logistic regression,period-prevalence,12-month,anxiety disorder,12-month,mood disorder,anxiety disorder-bipolar disorder,anxiety disorder,bipolar disorder,anxiety disorder-bipolar disorder,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,1.6,0.5,4.9,,,,,,,,,,,
69,"McEvoy et al, 2011",Australia,The Australian National Survey of Mental Health and Well-Being (NSMHWB),NSMHWB,cross-sectional,odds ratios,logistic regression,period-prevalence,12-month,anxiety disorder,12-month,mood disorder,anxiety disorder-mood disorder,anxiety disorder,mood disorder,anxiety disorder-mood disorder,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,13.4,10.1,17.9,,,,,,,,,,,
71,"Magklara et al, 2015",Greece,Epirus School Project,Epirus School Project,cross-sectional,odds ratios,logistic regression,period-prevalence,,mood disorder,,anxiety disorder,depression-anxiety disorder,depression,anxiety disorder,depression-anxiety disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,7.76,5.52,10.92,,,,,,
71,"Magklara et al, 2015",Greece,Epirus School Project,Epirus School Project,cross-sectional,odds ratios,logistic regression,period-prevalence,,mood disorder,,anxiety disorder,depression-OCD,depression,OCD,depression-OCD,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,5.32,3.48,8.14,,,,,,
71,"Magklara et al, 2015",Greece,Epirus School Project,Epirus School Project,cross-sectional,odds ratios,logistic regression,period-prevalence,,mood disorder,,anxiety disorder,depression-GAD,depression,GAD,depression-GAD,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,7.92,5.35,11.74,,,,,,
71,"Magklara et al, 2015",Greece,Epirus School Project,Epirus School Project,cross-sectional,odds ratios,logistic regression,period-prevalence,,mood disorder,,anxiety disorder,depression-panic disorder,depression,panic disorder,depression-panic disorder,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,4.03,2.14,7.57,,,,,,
71,"Magklara et al, 2015",Greece,Epirus School Project,Epirus School Project,cross-sectional,odds ratios,logistic regression,period-prevalence,,mood disorder,,anxiety disorder,depression-agoraphobia,depression,agoraphobia,depression-agoraphobia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,2.53,1.01,6.3,,,,,,
71,"Magklara et al, 2015",Greece,Epirus School Project,Epirus School Project,cross-sectional,odds ratios,logistic regression,period-prevalence,,mood disorder,,anxiety disorder,depression-phobia,depression,phobia disorder,depression-phobia disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,2.93,1.83,4.68,,,,,,
72,"Lewinsohn et al, 1993",USA,The Oregon Adolescent Depression Project (OADP),OADP,prospective cohort,odds ratios,logistic regression,lifetime,lifetime ,anxiety disorder,lifetime,mood disorder,anxiety disorder-bipolar disorder,anxiety disorder,bipolar disorder,anxiety disorder-bipolar disorder,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,7.1,2,25.4,,,,,,,,,,,
73,"Lim et al, 2005",Singapore,The National Mental Health Survey (Adults) of Singapore (NMHS(A)),NMHS(A),cross-sectional,crude estimate,2 X 2 table,lifetime,lifetime,anxiety disorder,lifetime,mood disorder,GAD-MDD,GAD,depression,GAD-depression,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,68,22,97,2660
73,"Lim et al, 2005",Singapore,The National Mental Health Survey (Adults) of Singapore (NMHS(A)),NMHS(A),cross-sectional,crude estimate,2 X 2 table,lifetime,lifetime,anxiety disorder,lifetime,mood disorder,GAD-dysthymia,GAD,dysthymia,GAD-dysthymia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,9,81,26,2731
73,"Lim et al, 2005",Singapore,The National Mental Health Survey (Adults) of Singapore (NMHS(A)),NMHS(A),cross-sectional,crude estimate,2 X 2 table,period-prevalence,1-month,anxiety disorder,1-month,mood disorder,GAD-MDD,GAD,depression,GAD-depression,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,56,20,85,2686
73,"Lim et al, 2005",Singapore,The National Mental Health Survey (Adults) of Singapore (NMHS(A)),NMHS(A),cross-sectional,crude estimate,2 X 2 table,period-prevalence,1-month,anxiety disorder,1-month,mood disorder,GAD-dysthymia,GAD,dysthymia,GAD-dysthymia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,4,72,28,2743
75,"Lewinsohn et al, 1997",USA,The Oregon Adolescent Depression Project (OADP),OADP,prospective cohort,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,MDD-panic disorder,depression,panic disorder,depression-panic disorder,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,5.4,1.7,17.1,,,,,,
75,"Lewinsohn et al, 1997",USA,The Oregon Adolescent Depression Project (OADP),OADP,prospective cohort,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,MDD-social phobia,depression,social phobia,depression-social phobia,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,3.3,1.3,8.1,,,,,,
75,"Lewinsohn et al, 1997",USA,The Oregon Adolescent Depression Project (OADP),OADP,prospective cohort,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,MDD-simple phobia,depression,specific phobia,depression-specific phobia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,2.9,1.3,6.1,,,,,,
75,"Lewinsohn et al, 1997",USA,The Oregon Adolescent Depression Project (OADP),OADP,prospective cohort,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,MDD-separation anxiety,depression,SAD,depression-SAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,3.6,2.1,6.3,,,,,,
75,"Lewinsohn et al, 1997",USA,The Oregon Adolescent Depression Project (OADP),OADP,prospective cohort,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,MDD-overanxious disorder,depression,GAD,depression-GAD,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,3,1.1,8.8,,,,,,
75,"Lewinsohn et al, 1997",USA,The Oregon Adolescent Depression Project (OADP),OADP,prospective cohort,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,bipolar disorder-separation anxiety,bipolar disorder,SAD,bipolar disorder-SAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Males,39.6,4.7,330.6,,,,,,
75,"Lewinsohn et al, 1997",USA,The Oregon Adolescent Depression Project (OADP),OADP,prospective cohort,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,MDD-anxiety disorder,depression,anxiety disorder,depression-anxiety disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,4,2.7,5.8,,,,,,
75,"Lewinsohn et al, 1997",USA,The Oregon Adolescent Depression Project (OADP),OADP,prospective cohort,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,dysthymia-anxiety disorder,dysthymia,anxiety disorder,dysthymia-anxiety disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,Overall,2.7,1.3,5.5,,,,,,
75,"Lewinsohn et al, 1997",USA,The Oregon Adolescent Depression Project (OADP),OADP,prospective cohort,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,bipolar disorder-anxiety disorder,bipolar disorder,anxiety disorder,bipolar disorder-anxiety disorder,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,5,1.5,16.6,,,,,,
76,"Kim et al, 2016",South Korea,The Korean Epidemiologic Catchment Area (KECA),KECA-2011,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime ,anxiety disorder,bipolar disorder-anxiety disorder,bipolar disorder,anxiety disorder,bipolar disorder-anxiety disorder,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,6.2,3.5,11,,,,,,,,,,,
76,"Kim et al, 2016",South Korea,The Korean Epidemiologic Catchment Area (KECA),KECA-2011,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,bipolar disorder-OCD,bipolar disorder,OCD,bipolar disorder-OCD,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,5.9,2.6,13.8,,,,,,,,,,,
76,"Kim et al, 2016",South Korea,The Korean Epidemiologic Catchment Area (KECA),KECA-2011,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,bipolar disorder-PTSD,bipolar disorder,PTSD,bipolar disorder-PTSD,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,10.9,5.2,22.9,,,,,,,,,,,
76,"Kim et al, 2016",South Korea,The Korean Epidemiologic Catchment Area (KECA),KECA-2011,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,bipolar disorder-panic disorder,bipolar disorder,panic disorder,bipolar disorder-panic disorder,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,2.7,0.45,16.4,,,,,,,,,,,
76,"Kim et al, 2016",South Korea,The Korean Epidemiologic Catchment Area (KECA),KECA-2011,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,bipolar disorder-agoraphobia,bipolar disorder,agoraphobia,bipolar disorder-agoraphobia,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,5.7,0.2,179.5,,,,,,,,,,,
76,"Kim et al, 2016",South Korea,The Korean Epidemiologic Catchment Area (KECA),KECA-2011,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,bipolar disorder-social phobia,bipolar disorder,social phobia,bipolar disorder-social phobia,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,6.3,1.2,31.6,,,,,,,,,,,
76,"Kim et al, 2016",South Korea,The Korean Epidemiologic Catchment Area (KECA),KECA-2011,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,bipolar disorder-GAD,bipolar disorder,GAD,bipolar disorder-GAD,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,7.8,2.9,20.6,,,,,,,,,,,
76,"Kim et al, 2016",South Korea,The Korean Epidemiologic Catchment Area (KECA),KECA-2011,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,bipolar disorder-specific phobia,bipolar disorder,specific phobia,bipolar disorder-specific phobia,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,4.4,1.5,12.8,,,,,,,,,,,
78,"Szadoczky et al, 2002",Hungary,Hungarian National Survey,Hungarian National Survey,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,MDD-panic disorder,depression,panic disorder,depression-panic disorder,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,4.47,3.08,6.47,,,,,,,,,,,
78,"Szadoczky et al, 2002",Hungary,Hungarian National Survey,Hungarian National Survey,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,MDD-GAD,depression,GAD,depression-GAD,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,4.42,3.09,6.32,,,,,,,,,,,
78,"Szadoczky et al, 2002",Hungary,Hungarian National Survey,Hungarian National Survey,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,MDD-agoraphobia,depression,agoraphobia,depression-agoraphobia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,Overall,3.14,2.12,4.65,,,,,,,,,,,
78,"Szadoczky et al, 2002",Hungary,Hungarian National Survey,Hungarian National Survey,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,MDD-social phobia,depression,social phobia,depression-social phobia,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,4.54,3.29,6.25,,,,,,,,,,,
78,"Szadoczky et al, 2002",Hungary,Hungarian National Survey,Hungarian National Survey,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,MDD-specific phobia,depression,specific phobia,depression-specific phobia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,2.3,1.61,3.28,,,,,,,,,,,
78,"Szadoczky et al, 2002",Hungary,Hungarian National Survey,Hungarian National Survey,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,MDD-OCD,depression,OCD,depression-OCD,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,4.31,2.99,6.22,,,,,,,,,,,
78,"Szadoczky et al, 2002",Hungary,Hungarian National Survey,Hungarian National Survey,cross-sectional,odds ratios,logistic regression,lifetime,lifetime,mood disorder,lifetime,anxiety disorder,MDD-anxiety disorder,depression,anxiety disorder,depression-anxiety disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,Overall,3.73,3,4.63,,,,,,,,,,,
80,"Trumpf et al, 2010",Germany,The Dresden Predictor Study (DPS),DPS,prospective cohort,odds ratios,logistic regression,lifetime,lifetime,anxiety disorder,lifetime,mood disorder,specific phobia-mood disorder,specific phobia,mood disorder,specific phobia-mood disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Overall,1.57,0.89,2.76,,Overall,1.24,0.69,2.22,,,,,,
80,"Trumpf et al, 2010",Germany,The Dresden Predictor Study (DPS),DPS,prospective cohort,odds ratios,logistic regression,lifetime,lifetime,anxiety disorder,lifetime,mood disorder,specific phobia-major depression,specific phobia,depression,specific phobia-depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,1.99,1.15,3.42,,Overall,1.56,0.89,2.74,,,,,,
81,"Leray et al, 2011",France,The Mental Health in General Population (MHGP),MHGP,cross-sectional,odds ratios,logistic regression,period-prevalence,6-month,anxiety disorder,6-month,mood disorder,anxiety disorder-MDE,anxiety disorder,depression,anxiety disorder-depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,5.4,5,5.8,,,,,,
81,"Leray et al, 2011",France,The Mental Health in General Population (MHGP),MHGP,cross-sectional,odds ratios,logistic regression,period-prevalence,6-month,anxiety disorder,6-month,mood disorder,GAD-MDE,GAD,depression,GAD-depression,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,3.2,3,3.5,,,,,,
81,"Leray et al, 2011",France,The Mental Health in General Population (MHGP),MHGP,cross-sectional,odds ratios,logistic regression,period-prevalence,6-month,anxiety disorder,6-month,mood disorder,social phobia-MDE,social phobia,depression,social phobia-depression,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,3.4,3,3.8,,,,,,
81,"Leray et al, 2011",France,The Mental Health in General Population (MHGP),MHGP,cross-sectional,odds ratios,logistic regression,period-prevalence,6-month,anxiety disorder,6-month,mood disorder,panic disorder-MDE,panic disorder,depression,panic disorder-depression,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,5.7,5.1,6.4,,,,,,
81,"Leray et al, 2011",France,The Mental Health in General Population (MHGP),MHGP,cross-sectional,odds ratios,logistic regression,period-prevalence,6-month,anxiety disorder,6-month,mood disorder,agoraphobia-MDE,agoraphobia,depression,agoraphobia-depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall,5.1,4.4,6,,,,,,
